,user_id,prolific_id,job,assigned_condition,assigned_scenario
1,2,66cf230ecdd3e9c62604be56,sales,2,0
28,29,60645fe61129208791535d15,sales,2,1
43,44,6097e36e99d6c893daf55676,sales,2,2
52,53,6749ab84e01f4296b4f52729,sales,2,1
54,55,66661b1242b581f199e49f4c,sales,1,2
60,61,5e7bc6522b3c381f6e3c1b3f,sales,1,2
64,65,59c3eeac05da9d0001402bcd,sales,2,0
68,69,65a54037a9c2c5d66a3601b2,sales,0,0
73,74,5e70bd5480f43a0009625d4c,sales,2,2
84,85,6744d143eddffd17d345b192,sales,1,2
85,86,5f42e037b2f15d1424da5187,sales,2,0
89,90,602ad4a0805527185ca10247,sales,0,0
92,93,60dae7f7ca5ccaa419552ed8,sales,0,1
97,98,615d3a160645989797ca0779,sales,2,2
99,100,64803fe717b0a137be421ae1,sales,1,1
101,102,66b64962824f3862c1736a74,sales,0,2
105,106,67827f739468146a25afb5f4,it,1,2
106,107,66156b2dc0794709cb34b38b,it,2,1
107,108,673b977cd317c5a2424f5a0a,it,0,1
108,109,677c52fe648cd68583dd3b1e,it,1,0
109,110,674dc32400f538862eb27f89,it,2,1
112,113,6176b584db27cdcecc3896c8,it,2,0
117,118,66ddd34dd909724fe8747ae7,it,1,0
119,120,66c0e79c746d984d9bff5fa4,it,0,0
122,123,67ab7b4bab447bf6265c20e8,it,0,0
123,124,5e54309f0a98c705f68ae8a8,it,1,1
126,127,613ee5c73de62443db76d074,it,1,0
127,128,5a732956f660ae0001a9b011,it,2,0
128,129,6631d1814acfe3524a133869,it,0,0
132,133,669da9a7fadbf79582cb5930,it,1,1
134,135,66d450d116aa59a3161adf97,it,0,0
135,136,5d7fd2a5987f70001602d95b,it,1,0
136,137,66e0569e76fa6e4be6919693,it,2,1
140,141,65f03cac071873738667ccbb,it,0,1
148,149,60daaa7f5ea36d3eff3c5709,human_resources,2,1
149,150,611e2078cadc8161a119af67,human_resources,0,1
151,152,63ced9adadc38e1acc2b58b6,human_resources,2,1
152,153,67791ab8b253240f92a529e9,human_resources,0,2
157,158,677e4c95717ca8c8c4e68845,human_resources,2,0
160,161,6109656bb28bc0fadcad52ca,human_resources,2,1
167,168,6731f44a64ca2aaab598a8e6,human_resources,0,1
173,174,6733467c8548f3af0a1a6175,human_resources,0,1
175,176,66bf5475638c0e7ba3f8e07c,human_resources,2,1
176,177,65b9564041e20d793a9c0195,human_resources,0,2
178,179,INV_67a91d7ef7d0847268c82cd1,human_resources,2,2
181,182,INV_677efdf52754abccaef67240,it,2,2
183,184,67acf1d438e2c92a40f88a9e,human_resources,1,1
187,188,674eae0026291e33be89b46f,human_resources,2,2
188,189,672f51ea346fba23ddd5a793,human_resources,0,1
381,382,67823a6282d703e4f260295b,human_resources,1,2
382,383,66b0dc44aaab7cbcd8b2a981,human_resources,1,0
384,385,6791014f096bb55f99972e2e,human_resources,1,0
386,387,615ae3c2462dcbab1d3af8d3,human_resources,1,2
387,388,60cdd153d7b55ec04c7180bb,human_resources,1,0
388,389,676081be6cc7790b366aca15,human_resources,1,0
394,395,614d2250108917feb4ab9172,legal,2,2
396,397,6737528077a96cc28696841c,legal,1,0
397,398,673095cdad63b15df27338d8,legal,2,2
398,399,60e46e73e4c4216e7dcbe325,legal,0,1
399,400,66bfa18fd3ee5ceec19489fb,legal,1,0
401,402,67927aea6348ec5baccc0f7d,legal,0,0
404,405,6053e01a6a8e8516ba7d47a7,legal,0,2
406,407,6470e501cc85b0287c8da951,legal,2,0
407,408,673b7ef45c9291ade287d5d7,legal,0,0
408,409,60ed8d47a42dc5469f868b2a,legal,1,2
409,410,66bbafb05de7e549455aa4ff,legal,2,1
410,411,6136daf08ac1e7c0c273eed2,legal,0,1
411,412,653149505ee33e5f3af9074d,legal,1,1
412,413,5a46cc1f817d1800018d1b67,legal,2,0
417,418,6643894e1f7aa75c4410d42b,legal,1,0
419,420,666b21f5d7612ba25e34262c,legal,0,0
422,423,5c74e7e9c3fe130001e86cc8,legal,0,1
423,424,61241e1a198915b4d476c719,legal,1,1
424,425,673f22b40fd3b38a4c000eea,legal,2,1
425,426,666ed73e4b49ad92368677b3,legal,0,0
426,427,678efa8748fce0572b043136,legal,1,0
432,433,66587a03138c697f41bd4fa8,finance_accounting,1,1
433,434,677506061eeaeb82be47cba5,finance_accounting,2,0
435,436,5d9e3ec9611b0b0017b14b9a,finance_accounting,1,0
436,437,60292aabf20c7d2af65541a7,finance_accounting,2,2
437,438,667b1ca693a1d52a0447f22f,finance_accounting,0,0
439,440,6669a6b17454f7e1e6b2a5e3,finance_accounting,2,0
440,441,669f4d0531a6e90c5f0e355c,finance_accounting,0,1
441,442,5f3ec93efbd299158253f283,finance_accounting,1,0
442,443,669d1b8c4cc3b111f5b65a40,finance_accounting,2,1
443,444,5f3287b83428cb05746e2214,finance_accounting,0,1
444,445,65ca3273c5af74f8349914a3,finance_accounting,1,0
445,446,61505373bc903980a66ab1e1,finance_accounting,2,0
449,450,6680585a70daab105348de33,finance_accounting,0,2
452,453,678129b5d4700120b2b644ed,finance_accounting,0,2
453,454,6609e31201eebc9f6a2de74b,finance_accounting,1,1
454,455,5ec96e3609117f0a67231842,finance_accounting,2,1
455,456,675fbd420669dad54261e09a,finance_accounting,0,0
456,457,668a9841d4178ffe1aaaa225,finance_accounting,1,2
457,458,5f217f528ba46c08032a1c42,finance_accounting,2,2
458,459,678fc51e951e180ff4c3da30,finance_accounting,0,2
459,460,659c0682d109f8537a89fdd3,finance_accounting,1,2
460,461,5da6139c002c29001335b5a2,finance_accounting,2,0
464,465,6765de7067ea602040582812,research,0,0
465,466,678be169794526dff848f3c3,research,1,2
466,467,660562bbe704ea297dcbd597,research,2,0
469,470,66b9af8ca020d514f5131634,research,2,1
470,471,5cc8bdd79366c80001eda779,research,0,0
471,472,6516d39e9eea4ed892cbb5b7,research,1,2
473,474,657339a709e2919a96fb8fd8,research,0,2
474,475,5c1942e200849900010afdcd,research,1,2
475,476,65475d40c43ce75705636bba,research,2,2
477,478,65ddeeb544845c2ca218d3d3,research,1,2
478,479,669d29c6827bb4d1158e3976,research,2,1
480,481,676d3ef7769d39d4537e67d4,research,1,1
481,482,6777e811cae5cb4b0557e525,research,2,2
482,483,67857ceffe39fa46008f8895,research,0,2
483,484,617305abc8cde4cf0e08255b,research,1,2
484,485,669149873799bbea50733fe0,research,2,1
485,486,66033df1ae671a48d8065a7f,research,0,2
486,487,6711046a6d8330b7d094bdd1,research,1,2
487,488,66a7e10fbe44e52d81c85982,research,2,0
490,491,65c64b49061653d1127fac5b,research,2,2
491,492,648b962b8fdb1fa686213ac1,research,0,2
492,493,67490a3fcaa783ad93c2d1a3,research,1,0
493,494,6085a843a78d20829182301f,research,2,1
498,499,670d87fa1028a04a48fe04e0,design_creative,1,1
499,500,5fc9b1252395584af6debd51,design_creative,2,2
501,502,613a69d8ed1c11f70b3d37c7,design_creative,1,0
503,504,60aad516e34718d318bfb44d,design_creative,0,0
504,505,5f600669b846780f0fe45709,design_creative,1,2
505,506,66718651235965586f330675,design_creative,2,0
506,507,65b551055443779e8153c662,design_creative,0,2
507,508,650ee274aa4447ac435b7830,design_creative,1,2
508,509,58d3bc1642648b0001f21ca4,design_creative,2,1
509,510,6726a37fe4b06d9f2f997f30,design_creative,0,0
510,511,60a1e1f4a3707c983a98f185,design_creative,1,2
511,512,6777187fad56f729281ef06c,design_creative,2,0
513,514,5ede792f5c27ee0e428edd0e,design_creative,1,1
514,515,5e830b929f2ed2018ec42099,design_creative,2,0
515,516,677ac583e8e5012f947fbdbf,design_creative,0,2
517,518,6786c7d17bc067f2f666cbed,design_creative,2,0
519,520,5dd42e7f35cf744223c60d1b,design_creative,1,2
520,521,5ce43a8af5f5b00015477c7f,design_creative,2,0
522,523,5eaeb365086d90570e8e538f,design_creative,1,0
524,525,65fd910b6214e647ea9c6175,design_creative,0,2
525,526,664ede1cd863fba8c47176a0,design_creative,1,1
526,527,67acc93369e412a591c8e9e1,design_creative,2,1
528,529,629f6b8c65fcae219e245284,design_creative,1,1
530,531,5e306dbd001ff8069617732a,data_analysis,0,2
531,532,616f798530ff27d100493ede,data_analysis,1,0
533,534,6163faf9d9ac4586fe776568,data_analysis,0,1
535,536,64573b49f7101123b3ef0407,data_analysis,2,2
539,540,66bf0af46a41e9a0b8832139,data_analysis,0,2
540,541,6754b12283f067a4a032049e,data_analysis,1,0
541,542,63fcb689de890413dd0dbfac,data_analysis,2,0
542,543,63d1551a5ce4007134556954,data_analysis,0,1
543,544,66446d88662725412dc27d06,data_analysis,1,2
545,546,5f514593ea1e87365b9cb05f,data_analysis,0,1
546,547,6650e473608d3961fbf2ddf0,data_analysis,1,2
548,549,673c7f1a311bf37e079d9881,data_analysis,0,0
550,551,67269f439696d166fbb74e09,data_analysis,2,1
551,552,672be724a1f9a800fcbd3d02,data_analysis,0,0
552,553,6772f0fd97f6c8f5ad77ffb8,data_analysis,1,1
553,554,603a293ee62ae15da2674441,data_analysis,2,2
554,555,677c2da1c41f7a0eb119b939,data_analysis,0,1
555,556,678557116f825dad357b623c,data_analysis,1,1
556,557,6728ed58a6edaf63794a0a34,data_analysis,2,1
558,559,5c62cd853943090001db9af8,data_analysis,1,2
559,560,664c8dd7baa052f7b1e88417,data_analysis,2,2
561,562,6135f43464be30d6a0bb0be8,data_analysis,1,1
567,568,6719141c7acadf0601ba861f,finance_accounting,1,2
568,569,6603e6459e1a1c2dd59452b4,product_management,2,0
569,570,673d0377254c407e5da57f97,product_management,0,1
570,571,645cf23cf9229b8dd5453a6e,product_management,1,1
571,572,6730edee7604f722610a7368,product_management,2,1
572,573,66e688fac0b50215bd2af9db,product_management,0,1
573,574,612687a5a3c9d923c4050e47,product_management,1,2
575,576,660be2ca888cd313e48505fc,product_management,0,1
576,577,673a4164fae8466206e69990,product_management,1,2
579,580,675d8adc59d440f72ffd3f28,product_management,1,1
580,581,66019988a3d63339927cc80f,product_management,2,1
582,583,6054cdc28222dc1ca6f58d8c,product_management,1,2
584,585,653fc72c551b6209e0cf40e0,product_management,0,2
585,586,5f16d4bf2c8000017b20331a,product_management,1,1
586,587,6771873cc6ceded055d324ab,product_management,2,1
587,588,6776cab8c3eb0d6436f43e51,product_management,0,2
589,590,66b3bb9ebd626f70cd560744,product_management,2,2
590,591,65b85222a3269ee45054aed5,product_management,0,2
591,592,67ad0cc9f3a3feb73e22852d,product_management,1,0
592,593,6571d26dd80af4432c4f40ef,product_management,2,0
594,595,677404c2a27970e0fcd664d2,product_management,1,0
595,596,5bb2a0148f3bd70001e5633f,product_management,2,1
597,598,6118d62f57869db8218a11b0,product_management,1,0
599,600,67bde665fd6faf558cb074de,customer_experience,0,2
600,601,676f1400c5d67b8d230967a5,customer_experience,1,0
602,603,5ed590bf481c4512b168946f,customer_experience,0,0
603,604,665403f33b8b863a20aa2cd8,customer_experience,1,2
604,605,6503444cd88ba9004224b69e,customer_experience,2,0
605,606,65d863e56337aa59292ccd66,customer_experience,0,2
606,607,56db8f127dcddf000dd592af,customer_experience,1,1
607,608,5ef7204033605901ce86c0b0,customer_experience,2,1
608,609,669aaa2099ce117665d8dc0b,customer_experience,0,2
609,610,63e55bb2f8e6aec6a4031bd8,customer_experience,1,1
610,611,673cdebc9b7076ea0139df23,customer_experience,2,1
613,614,66bcf6a78ac9c3ea589aeb4d,customer_experience,2,0
614,615,673c4a90f510fd807337835a,customer_experience,0,2
616,617,674ca6e73e98a96de2cda112,customer_experience,2,2
617,618,5bbfeaeb785edb0001fac427,customer_experience,0,2
618,619,663140c398e19ff9b77d4663,customer_experience,1,0
619,620,60e840cfd4c065679727d760,customer_experience,2,0
620,621,5c4f5967aac8be0001716a65,customer_experience,0,2
621,622,6739708559bb15e60ca871ac,customer_experience,1,2
624,625,676650e22b10eda1732abf1a,customer_experience,1,2
626,627,67a95d468d14bd6324b4bbba,customer_experience,0,2
629,630,5fd5ef3cb8ec2745c10454e3,customer_experience,0,1
634,635,66954eb024a4cac04db35d5a,it,0,2
635,636,5d5e63b47bfc8400013b67dd,it,0,0
636,637,60624c1a743e95138f858c05,data_analysis,0,2
639,640,67360451448620a00803e7f5,human_resources,0,2
640,641,663d07e79756c9fe270a3948,human_resources,0,1
654,655,5f6254659ffc2528c4ff3f5d,human_resources,0,2
668,669,5dc9864276244069e9aac84c,sales,1,0
673,674,611d0c64d70a6d9fcd11440b,legal,0,2
675,676,61329a3e3f353940f7fcd042,sales,0,0
677,678,66bb613248ee71b8e9318e88,sales,0,1
678,679,5e569114eead0c04099b5d67,product_management,1,1
679,680,660ec42949f31110e4d0a467,customer_experience,0,1
688,689,65fbfac19cf696df182131f3,sales,2,1
689,690,6606e923093ba1333d58a966,sales,2,0
690,691,60ec51c51a3158a50ded8a3e,it,2,2
691,692,664b4f0017b082f48ee8a033,it,2,0
696,697,6672b4e37dbe66f2c2dc1107,sales,0,2
697,698,65ba64c07847d4c34ec00de1,sales,0,2
705,706,6729ef57b766ab96bb9f306a,legal,2,0
